z,A,a_eff,shear_integral,horizon_approach
402.4024,0.8509319477,0.8509319477,0.0107284032,False
403.4034,0.8507625911,0.8507625911,0.0106259348,False
404.4044,0.8505936045,0.8505936045,0.0105244325,False
405.4054,0.8504249864,0.8504249864,0.0104238875,False
406.4064,0.8502567353,0.8502567353,0.0103242909,False
407.4074,0.8500888496,0.8500888496,0.0102256339,False
408.4084,0.8499213279,0.8499213279,0.0101279079,False
409.4094,0.8497541686,0.8497541686,0.0100311042,False
410.4104,0.8495873702,0.8495873702,0.0099352143,False
411.4114,0.8494209312,0.8494209312,0.0098402297,False
412.4124,0.8492548502,0.8492548502,0.0097461422,False
413.4134,0.8490891257,0.8490891257,0.0096529433,False
414.4144,0.8489237563,0.8489237563,0.0095606248,False
415.4154,0.8487587404,0.8487587404,0.0094691786,False
416.4164,0.8485940768,0.8485940768,0.0093785966,False
417.4174,0.8484297638,0.8484297638,0.0092888708,False
418.4184,0.8482658001,0.8482658001,0.0091999932,False
419.4194,0.8481021843,0.8481021843,0.0091119561,False
420.4204,0.847938915,0.847938915,0.0090247515,False
421.4214,0.8477759908,0.8477759908,0.0089383717,False
422.4224,0.8476134102,0.8476134102,0.0088528092,False
423.4234,0.847451172,0.847451172,0.0087680562,False
424.4244,0.8472892747,0.8472892747,0.0086841054,False
425.4254,0.847127717,0.847127717,0.0086009491,False
426.4264,0.8469664974,0.8469664974,0.0085185801,False
427.4274,0.8468056148,0.8468056148,0.0084369911,False
428.4284,0.8466450676,0.8466450676,0.0083561747,False
429.4294,0.8464848547,0.8464848547,0.0082761238,False
430.4304,0.8463249746,0.8463249746,0.0081968312,False
431.4314,0.8461654261,0.8461654261,0.00811829,False
432.4324,0.8460062078,0.8460062078,0.0080404931,False
433.4334,0.8458473184,0.8458473184,0.0079634335,False
434.4344,0.8456887567,0.8456887567,0.0078871045,False
435.4354,0.8455305213,0.8455305213,0.0078114991,False
436.4364,0.845372611,0.845372611,0.0077366107,False
437.4374,0.8452150245,0.8452150245,0.0076624326,False
438.4384,0.8450577605,0.8450577605,0.0075889581,False
439.4394,0.8449008178,0.8449008178,0.0075161807,False
440.4404,0.8447441951,0.8447441951,0.0074440938,False
441.4414,0.8445878912,0.8445878912,0.0073726911,False
442.4424,0.8444319048,0.8444319048,0.0073019661,False
443.4434,0.8442762348,0.8442762348,0.0072319126,False
444.4444,0.8441208798,0.8441208798,0.0071625242,False
445.4454,0.8439658388,0.8439658388,0.0070937947,False
446.4464,0.8438111104,0.8438111104,0.007025718,False
447.4474,0.8436566934,0.8436566934,0.0069582879,False
448.4484,0.8435025868,0.8435025868,0.0068914985,False
449.4494,0.8433487892,0.8433487892,0.0068253437,False
450.4505,0.8431952995,0.8431952995,0.0067598176,False
451.4515,0.8430421166,0.8430421166,0.0066949143,False
452.4525,0.8428892392,0.8428892392,0.006630628,False
453.4535,0.8427366662,0.8427366662,0.0065669529,False
454.4545,0.8425843965,0.8425843965,0.0065038833,False
455.4555,0.8424324288,0.8424324288,0.0064414135,False
456.4565,0.8422807621,0.8422807621,0.0063795379,False
457.4575,0.8421293952,0.8421293952,0.006318251,False
458.4585,0.841978327,0.841978327,0.0062575471,False
459.4595,0.8418275564,0.8418275564,0.0061974209,False
460.4605,0.8416770822,0.8416770822,0.0061378669,False
461.4615,0.8415269034,0.8415269034,0.0060788797,False
462.4625,0.8413770188,0.8413770188,0.0060204541,False
463.4635,0.8412274273,0.8412274273,0.0059625848,False
464.4645,0.8410781279,0.8410781279,0.0059052665,False
465.4655,0.8409291194,0.8409291194,0.0058484941,False
466.4665,0.8407804008,0.8407804008,0.0057922625,False
467.4675,0.840631971,0.840631971,0.0057365665,False
468.4685,0.8404838289,0.8404838289,0.0056814012,False
469.4695,0.8403359735,0.8403359735,0.0056267616,False
470.4705,0.8401884037,0.8401884037,0.0055726426,False
471.4715,0.8400411185,0.8400411185,0.0055190395,False
472.4725,0.8398941168,0.8398941168,0.0054659474,False
473.4735,0.8397473975,0.8397473975,0.0054133614,False
474.4745,0.8396009597,0.8396009597,0.0053612769,False
475.4755,0.8394548023,0.8394548023,0.005309689,False
476.4765,0.8393089243,0.8393089243,0.0052585932,False
477.4775,0.8391633247,0.8391633247,0.0052079847,False
478.4785,0.8390180024,0.8390180024,0.0051578591,False
479.4795,0.8388729565,0.8388729565,0.0051082117,False
480.4805,0.8387281859,0.8387281859,0.005059038,False
481.4815,0.8385836896,0.8385836896,0.0050103337,False
482.4825,0.8384394668,0.8384394668,0.0049620942,False
483.4835,0.8382955163,0.8382955163,0.0049143152,False
484.4845,0.8381518372,0.8381518372,0.0048669924,False
485.4855,0.8380084285,0.8380084285,0.0048201214,False
486.4865,0.8378652893,0.8378652893,0.004773698,False
487.4875,0.8377224185,0.8377224185,0.004727718,False
488.4885,0.8375798153,0.8375798153,0.0046821771,False
489.4895,0.8374374786,0.8374374786,0.0046370714,False
490.4905,0.8372954076,0.8372954076,0.0045923965,False
491.4915,0.8371536013,0.8371536013,0.0045481485,False
492.4925,0.8370120587,0.8370120587,0.0045043234,False
493.4935,0.8368707788,0.8368707788,0.0044609171,False
494.4945,0.8367297609,0.8367297609,0.0044179258,False
495.4955,0.8365890039,0.8365890039,0.0043753454,False
496.4965,0.8364485069,0.8364485069,0.0043331721,False
497.4975,0.8363082691,0.8363082691,0.004291402,False
498.4985,0.8361682894,0.8361682894,0.0042500314,False
499.4995,0.8360285671,0.8360285671,0.0042090565,False
500.5005,0.8358891011,0.8358891011,0.0041684735,False
501.5015,0.8357498906,0.8357498906,0.0041282787,False
502.5025,0.8356109347,0.8356109347,0.0040884685,False
503.5035,0.8354722326,0.8354722326,0.0040490392,False
504.5045,0.8353337833,0.8353337833,0.0040099872,False
505.5055,0.8351955859,0.8351955859,0.0039713089,False
506.5065,0.8350576396,0.8350576396,0.0039330009,False
507.5075,0.8349199435,0.8349199435,0.0038950596,False
508.5085,0.8347824968,0.8347824968,0.0038574815,False
509.5095,0.8346452986,0.8346452986,0.0038202632,False
510.5105,0.834508348,0.834508348,0.0037834012,False
