z,s_standard,s_tep,s_comoving_std,s_comoving_tep
794.7948,1461508280668087.8,1560820583792722.5,,
795.7958,1467030353383847.0,1566770443787262.0,,
796.7968,1472566318116596.2,1572735479259609.0,,
797.7978,1478116192318638.5,1578715709822715.2,,
798.7988,1483679993442278.5,1584711155090273.2,,
799.7998,1489257738939820.8,1590721834676710.2,,
800.8008,1494849446263571.0,1596747768197190.2,,
801.8018,1500455132865831.8,1602788975267608.0,,
802.8028,1506074816198909.2,1608845475504597.8,,
803.8038,1511708513715108.2,1614917288525523.5,,
804.8048,1517356242866732.0,1621004433948479.0,,
805.8058,1523018021106085.8,1627106931392291.8,,
806.8068,1528693865885473.2,1633224800476519.0,,
807.8078,1534383794657202.0,1639358060821449.0,,
808.8088,1540087824873572.5,1645506732048091.8,,
809.8098,1545805973986892.0,1651670833778193.0,,
810.8108,1551538259449464.0,1657850385634220.0,,
811.8118,1557284698713594.8,1664045407239368.5,,
812.8128,1563045309231586.2,1670255918217555.2,,
813.8138,1568820108455743.5,1676481938193424.2,,
814.8148,1574609113838373.8,1682723486792344.5,,
815.8158,1580412342831779.0,1688980583640402.0,,
816.8168,1586229812888264.0,1695253248364407.8,,
817.8178,1592061541460134.2,1701541500591892.2,,
818.8188,1597907545999693.2,1707845359951105.8,,
819.8198,1603767843959247.8,1714164846071019.8,,
820.8208,1609642452791101.2,1720499978581320.2,,
821.8218,1615531389947556.2,1726850777112410.2,,
822.8228,1621434672880919.2,1733217261295411.5,,
823.8238,1627352319043495.0,1739599450762162.0,,
824.8248,1633284345887586.5,1745997365145209.8,,
825.8258,1639230770865501.8,1752411024077824.5,,
826.8268,1645191611429541.0,1758840447193978.0,,
827.8278,1651166885032013.0,1765285654128365.8,,
828.8288,1657156609125217.5,1771746664516383.5,,
829.8298,1663160801161463.0,1778223497994147.2,,
830.8308,1669179478593052.8,1784716174198476.2,,
831.8318,1675212658872291.0,1791224712766901.5,,
832.8328,1681260359451484.5,1797749133337662.0,,
833.8338,1687322597782934.0,1804289455549699.8,,
834.8348,1693399391318947.8,1810845699042670.8,,
835.8358,1699490757511827.5,1817417883456928.5,,
836.8368,1705596713813879.5,1824006028433535.8,,
837.8378,1711717277677407.8,1830610153614258.8,,
838.8388,1717852466554717.5,1837230278641567.2,,
839.8398,1724002297898111.5,1843866423158629.2,,
840.8408,1730166789159896.2,1850518606809320.2,,
841.8418,1736345957792375.2,1857186849238211.2,,
842.8428,1742539821247854.5,1863871170090577.8,,
843.8438,1748748396978637.0,1870571589012389.0,,
844.8448,1754971702437027.0,1877288125650315.5,,
845.8458,1761209755075332.0,1884020799651727.5,,
846.8468,1767462572345852.5,1890769630664685.0,,
847.8478,1773730171700895.8,1897534638337951.2,,
848.8488,1780012570592765.5,1904315842320980.5,,
849.8498,1786309786473766.0,1911113262263921.5,,
850.8509,1792621836796204.5,1917926917817619.8,,
851.8519,1798948739012382.5,1924756828633606.8,,
852.8529,1805290510574604.5,1931603014364111.0,,
853.8539,1811647168935176.2,1938465494662050.8,,
854.8549,1818018731546402.2,1945344289181035.8,,
855.8559,1824405215860586.8,1952239417575362.8,,
856.8569,1830806639330035.5,1959150899500020.5,,
857.8579,1837223019407050.8,1966078754610681.5,,
858.8589,1843654373543940.5,1973023002563711.0,,
859.8599,1850100719193005.0,1979983663016153.2,,
860.8609,1856562073806551.5,1986960755625744.0,,
861.8619,1863038454836884.5,1993954300050903.0,,
862.8629,1869529879736307.5,2000964315950732.0,,
863.8639,1876036365957127.8,2007990822985019.8,,
864.8649,1882557930951645.8,2015033840814231.2,,
865.8659,1889094592172169.8,2022093389099520.0,,
866.8669,1895646367071002.0,2029169487502716.8,,
867.8679,1902213273100447.8,2036262155686332.5,,
868.8689,1908795327712811.5,2043371413313559.0,,
869.8699,1915392548360397.5,2050497280048266.0,,
870.8709,1922004952495512.2,2057639775555004.2,,
871.8719,1928632557570457.8,2064798919498995.2,,
872.8729,1935275381037540.0,2071974731546143.8,,
873.8739,1941933440349064.2,2079167231363026.5,,
874.8749,1948606752957333.0,2086376438616894.5,,
875.8759,1955295336314651.5,2093602372975674.2,,
876.8769,1961999207873326.5,2100845054107969.5,,
877.8779,1968718385085659.2,2108104501683049.2,,
878.8789,1975452885403956.2,2115380735370860.2,,
879.8799,1982202726280522.0,2122673774842018.2,,
880.8809,1988967925167659.5,2129983639767808.8,,
881.8819,1995748499517677.2,2137310349820191.8,,
882.8829,2002544466782875.0,2144653924671788.2,,
883.8839,2009355844415561.5,2152014383995896.5,,
884.8849,2016182649868037.2,2159391747466473.5,,
885.8859,2023024900592609.8,2166786034758149.5,,
886.8869,2029882614041582.5,2174197265546219.2,,
887.8879,2036755807667259.5,2181625459506640.5,,
888.8889,2043644498921948.8,2189070636316040.8,,
889.8899,2050548705257951.5,2196532815651706.5,,
890.8909,2057468444127571.2,2204012017191587.0,,
891.8919,2064403732983115.2,2211508260614299.5,,
892.8929,2071354589276887.0,2219021565599118.2,,
893.8939,2078321030461191.8,2226551951825980.0,,
894.8949,2085303073988333.8,2234099438975482.5,,
895.8959,2092300737310616.0,2241664046728880.5,,
896.8969,2099314037880347.0,2249245794768093.8,,
897.8979,2106342993149826.8,2256844702775691.0,,
898.8989,2113387620571361.8,2264460790434905.5,,
899.8999,2120447937597257.5,2272094077429625.0,,
900.9009,2127523961679816.8,2279744583444395.0,,
901.9019,2134615710271347.8,2287412328164415.5,,
902.9029,2141723200824149.5,2295097331275536.0,,
903.9039,2148846450790530.5,2302799612464268.5,,
904.9049,2155985477622795.5,2310519191417775.5,,
905.9059,2163140298773247.0,2318256087823866.5,,
906.9069,2170310931694190.0,2326010321371009.0,,
907.9079,2177497393837929.0,2333781911748318.5,,
908.9089,2184699702656770.8,2341570878645566.0,,
909.9099,2191917875603017.5,2349377241753166.0,,
910.9109,2199151930128974.5,2357201020762184.0,,
911.9119,2206401883686946.2,2365042235364335.5,,
912.9129,2213667753729238.2,2372900905251983.0,,
913.9139,2220949557708152.5,2380777050118133.0,,
914.9149,2228247313075998.0,2388670689656446.5,,
915.9159,2235561037285074.0,2396581843561217.0,,
916.9169,2242890747787688.5,2404510531527395.0,,
917.9179,2250236462036145.8,2412456773250572.0,,
918.9189,2257598197482748.5,2420420588426978.0,,
919.9199,2264975971579806.0,2428401996753496.0,,
920.9209,2272369801779616.0,2436401017927636.0,,
921.9219,2279779705534490.0,2444417671647567.5,,
922.9229,2287205700296725.5,2452451977612084.0,,
923.9239,2294647803518633.0,2460503955520633.5,,
924.9249,2302106032652513.5,2468573625073292.5,,
925.9259,2309580405150673.0,2476661005970783.5,,
926.9269,2317070938465418.0,2484766117914466.0,,
