z,null_t,null_r,timelike_t,timelike_r
0.0,1.0,0.0,1.0,0.0
1.001,0.99899943496211,0.001001,0.998999407615607,-0.0001
2.002,0.997998869823907,0.002001,0.997998815130896,-0.0002
3.003,0.996998304585191,0.003002,0.996998222545666,-0.0003
4.004,0.995997739245761,0.004002,0.995997629859717,-0.0004
5.005,0.994997173805416,0.005003,0.994997037072847,-0.0005
6.006,0.993996608263953,0.006003,0.993996444184855,-0.0006
7.007,0.992996042621171,0.007004,0.992995851195536,-0.0007
8.008,0.991995476876865,0.008005,0.991995258104689,-0.0008
9.009,0.990994911030832,0.009005,0.990994664912109,-0.000901
10.01,0.989994345082867,0.010006,0.989994071617591,-0.001001
11.011,0.988993779032765,0.011006,0.988993478220932,-0.001101
12.012,0.987993212880321,0.012007,0.987992884721923,-0.001201
13.013,0.986992646625328,0.013007,0.986992291120361,-0.001301
14.014,0.985992080267579,0.014008,0.985991697416036,-0.001401
15.015,0.984991513806867,0.015008,0.984991103608743,-0.001501
16.016,0.983990947242982,0.016009,0.983990509698272,-0.001601
17.017,0.982990380575717,0.01701,0.982989915684414,-0.001701
18.018,0.981989813804862,0.01801,0.98198932156696,-0.001801
19.019,0.980989246930206,0.019011,0.980988727345701,-0.001901
20.02,0.979988679951539,0.020011,0.979988133020424,-0.002001
21.021,0.97898811286865,0.021012,0.978987538590919,-0.002101
22.022,0.977987545681326,0.022012,0.977986944056974,-0.002201
23.023,0.976986978389355,0.023013,0.976986349418375,-0.002301
24.024,0.975986410992523,0.024014,0.97598575467491,-0.002401
25.025,0.974985843490616,0.025014,0.974985159826364,-0.002501
26.026,0.973985275883419,0.026015,0.973984564872522,-0.002602
27.027,0.972984708170718,0.027015,0.97298396981317,-0.002702
28.028,0.971984140352296,0.028016,0.971983374648091,-0.002802
29.029,0.970983572427936,0.029016,0.970982779377069,-0.002902
30.03,0.969983004397422,0.030017,0.969982183999885,-0.003002
31.031,0.968982436260534,0.031018,0.968981588516323,-0.003102
32.032,0.967981868017055,0.032018,0.967980992926164,-0.003202
33.033,0.966981299666765,0.033019,0.966980397229187,-0.003302
34.034,0.965980731209445,0.034019,0.965979801425173,-0.003402
35.035,0.964980162644872,0.03502,0.964979205513902,-0.003502
36.036,0.963979593972827,0.03602,0.963978609495151,-0.003602
37.037,0.962979025193086,0.037021,0.962978013368699,-0.003702
38.038,0.961978456305427,0.038022,0.961977417134324,-0.003802
39.039,0.960977887309627,0.039022,0.9609768207918,-0.003902
40.04,0.959977318205462,0.040023,0.959976224340905,-0.004002
41.041,0.958976748992706,0.041023,0.958975627781413,-0.004102
42.042,0.957976179671134,0.042024,0.9579750311131,-0.004202
43.043,0.95697561024052,0.043024,0.956974434335737,-0.004303
44.044,0.955975040700636,0.044025,0.955973837449099,-0.004403
45.045,0.954974471051256,0.045026,0.954973240452959,-0.004503
46.046,0.95397390129215,0.046026,0.953972643347086,-0.004603
47.047,0.95297333142309,0.047027,0.952972046131253,-0.004703
48.048,0.951972761443846,0.048027,0.951971448805229,-0.004803
49.049,0.950972191354187,0.049028,0.950970851368784,-0.004903
50.0501,0.949971621153882,0.050028,0.949970253821687,-0.005003
51.0511,0.948971050842699,0.051029,0.948969656163705,-0.005103
52.0521,0.947970480420406,0.05203,0.947969058394607,-0.005203
53.0531,0.946969909886768,0.05303,0.946968460514157,-0.005303
54.0541,0.945969339241551,0.054031,0.945967862522123,-0.005403
55.0551,0.944968768484521,0.055031,0.944967264418269,-0.005503
56.0561,0.943968197615443,0.056032,0.943966666202359,-0.005603
57.0571,0.942967626634079,0.057032,0.942966067874158,-0.005703
58.0581,0.941967055540192,0.058033,0.941965469433427,-0.005803
59.0591,0.940966484333544,0.059034,0.940964870879929,-0.005904
60.0601,0.939965913013897,0.060034,0.939964272213425,-0.006004
61.0611,0.938965341581012,0.061035,0.938963673433676,-0.006104
62.0621,0.937964770034648,0.062035,0.937963074540442,-0.006204
63.0631,0.936964198374563,0.063036,0.936962475533481,-0.006304
64.0641,0.935963626600517,0.064036,0.935961876412552,-0.006404
65.0651,0.934963054712267,0.065037,0.934961277177412,-0.006504
66.0661,0.93396248270957,0.066038,0.933960677827817,-0.006604
67.0671,0.932961910592181,0.067038,0.932960078363525,-0.006704
68.0681,0.931961338359856,0.068039,0.93195947878429,-0.006804
69.0691,0.930960766012349,0.069039,0.930958879089866,-0.006904
70.0701,0.929960193549413,0.07004,0.929958279280006,-0.007004
71.0711,0.928959620970802,0.07104,0.928957679354465,-0.007104
72.0721,0.927959048276267,0.072041,0.927957079312993,-0.007204
73.0731,0.92695847546556,0.073042,0.926956479155341,-0.007304
74.0741,0.925957902538431,0.074042,0.925955878881261,-0.007404
75.0751,0.924957329494629,0.075043,0.924955278490502,-0.007504
76.0761,0.923956756333904,0.076043,0.923954677982812,-0.007605
77.0771,0.922956183056004,0.077044,0.922954077357939,-0.007705
78.0781,0.921955609660674,0.078044,0.921953476615631,-0.007805
79.0791,0.920955036147663,0.079045,0.920952875755634,-0.007905
80.0801,0.919954462516714,0.080046,0.919952274777693,-0.008005
81.0811,0.918953888767574,0.081046,0.918951673681553,-0.008105
82.0821,0.917953314899986,0.082047,0.917951072466958,-0.008205
83.0831,0.916952740913692,0.083047,0.916950471133651,-0.008305
84.0841,0.915952166808436,0.084048,0.915949869681373,-0.008405
85.0851,0.914951592583958,0.085048,0.914949268109867,-0.008505
86.0861,0.913951018239999,0.086049,0.913948666418873,-0.008605
87.0871,0.912950443776299,0.08705,0.91294806460813,-0.008705
88.0881,0.911949869192596,0.08805,0.911947462677378,-0.008805
89.0891,0.910949294488628,0.089051,0.910946860626353,-0.008905
90.0901,0.909948719664132,0.090051,0.909946258454794,-0.009005
