z,A,rho_phi,p_phi,w_phi
198.1982,0.9891335889,2107071.504344088,-2106013.72795685,-0.999498
199.1992,0.9891004415,2125112.8272370314,-2124051.3280723304,-0.9995
200.2002,0.989067406,2142983.9439477846,-2141918.8436438013,-0.999503
201.2012,0.9890344815,2160681.4909490873,-2159612.91100094,-0.999505
202.2022,0.9890016673,2178202.185086259,-2177130.246809272,-0.999508
203.2032,0.9889689627,2195542.823898511,-2194467.648392222,-0.99951
204.2042,0.988936367,2212700.2858927553,-2211621.9940056694,-0.999513
205.2052,0.9889038795,2229671.530770935,-2228590.2430660236,-0.999515
206.2062,0.9888714994,2246453.5996117624,-2245369.436332707,-0.999517
207.2072,0.988839226,2263043.6150078396,-2261956.6960460213,-0.99952
208.2082,0.9888070587,2279438.7811590983,-2278349.226021333,-0.999522
209.2092,0.9887749967,2295636.3839235455,-2294544.311700564,-0.999524
210.2102,0.9887430393,2311633.7908262373,-2310539.3201619047,-0.999527
211.2112,0.988711186,2327428.451027482,-2326331.700088762,-0.999529
212.2122,0.9886794359,2343017.895251194,-2341918.9816988506,-0.999531
213.2132,0.9886477886,2358399.735674417,-2357298.77663445,-0.999533
214.2142,0.9886162432,2373571.665778915,-2372468.7778147324,-0.999535
215.2152,0.9885847991,2388531.460165857,-2387426.759251174,-0.999537
216.2162,0.9885534557,2403276.9743345045,-2402170.5758269723,-0.99954
217.2172,0.9885222124,2417806.1444259044,-2416698.163041457,-0.999542
218.2182,0.9884910685,2432116.98693249,-2431007.5367204132,-0.999544
219.2192,0.9884600234,2446207.5983746024,-2445096.7926933146,-0.999546
220.2202,0.9884290764,2460076.1549448245,-2458964.1064383653,-0.999548
221.2212,0.9883982271,2473720.912121107,-2472607.7326963306,-0.99955
222.2222,0.9883674746,2487140.204249599,-2486026.0050540664,-0.999552
223.2232,0.9883368185,2500332.4440981275,-2499217.33549869,-0.999554
224.2242,0.9883062581,2513296.122381235,-2512180.2139433045,-0.999556
225.2252,0.9882757929,2526029.807257723,-2524913.207725225,-0.999558
226.2262,0.9882454222,2538532.143801558,-2537414.9610775555,-0.99956
227.2272,0.9882151456,2550801.8534470974,-2549684.1945750876,-0.999562
228.2282,0.9881849623,2562837.733409491,-2561719.704555358,-0.999564
229.2292,0.9881548718,2574638.6560811535,-2573520.362515779,-0.999566
230.2302,0.9881248736,2586203.568405191,-2585085.1144877123,-0.999568
231.2312,0.9880949671,2597531.491226628,-2596412.980388333,-0.999569
232.2322,0.9880651518,2608621.5186223127,-2607503.0533511727,-0.999571
233.2332,0.988035427,2619472.817210344,-2618354.499036167,-0.999573
234.2342,0.9880057923,2630084.6254398185,-2628966.554920023,-0.999575
235.2352,0.9879762471,2640456.2528617987,-2639338.529567798,-0.999577
236.2362,0.9879467908,2650587.0793822263,-2649469.801886413,-0.999578
237.2372,0.987917423,2660476.554497662,-2659359.820360988,-0.99958
238.2382,0.9878881431,2670124.1965145916,-2669008.1022747336,-0.999582
239.2392,0.9878589506,2679529.591753115,-2678414.2329132194,-0.999584
240.2402,0.987829845,2688692.3937357496,-2687577.8647537446,-0.999585
241.2412,0.9878008257,2697612.3223621435,-2696498.716640616,-0.999587
242.2422,0.9877718923,2706289.163070422,-2705176.572947044,-0.999589
243.2432,0.9877430442,2714722.7659859094,-2713611.2827244126,-0.999591
244.2442,0.987714281,2722913.04505792,-2721802.7588396035,-0.999592
245.2452,0.9876856021,2730859.9771853923,-2729750.977101161,-0.999594
246.2462,0.9876570071,2738563.601331981,-2737455.9753749,-0.999596
247.2472,0.9876284955,2746024.017631349,-2744917.852689711,-0.999597
248.2482,0.9876000667,2753241.3864833107,-2752136.768334203,-0.999599
249.2492,0.9875717204,2760215.927641482,-2759112.94094485,-0.9996
250.2503,0.987543456,2766947.9192930884,-2765846.647586279,-0.999602
251.2513,0.987515273,2773437.6971315686,-2772338.2228243556,-0.999604
252.2523,0.9874871711,2779685.6534225764,-2778588.0577926454,-0.999605
253.2533,0.9874591497,2785692.2360640145,-2784596.5992529136,-0.999607
254.2543,0.9874312084,2791457.947640676,-2790364.348650212,-0.999608
255.2553,0.9874033467,2796983.3444740837,-2795891.8611631608,-0.99961
256.2563,0.9873755642,2802269.03566807,-2801179.7447499605,-0.999611
257.2573,0.9873478604,2807315.6821507467,-2806228.659190786,-0.999613
258.2583,0.987320235,2812123.9957132554,-2811039.3151269527,-0.999614
259.2593,0.9872926873,2816694.7380459676,-2815612.4730975227,-0.999616
260.2603,0.9872652171,2821028.7197726024,-2819948.942573819,-0.999617
261.2613,0.9872378239,2825126.799482741,-2824049.580992333,-0.999619
262.2623,0.9872105072,2828989.882763273,-2827915.2927865507,-0.99962
263.2633,0.9871832667,2832618.9212292465,-2831547.028418172,-0.999622
264.2643,0.9871561018,2836014.9115545806,-2834945.783408194,-0.999623
265.2653,0.9871290123,2839178.8945030905,-2838112.597368286,-0.999624
266.2663,0.9871019976,2842111.953960302,-2841048.553032955,-0.999626
267.2673,0.9870750574,2844815.215966454,-2843754.775292888,-0.999627
268.2683,0.9870481912,2847289.8477511294,-2846232.4302299106,-0.999629
269.2693,0.9870213987,2849537.05676992,-2848482.7241539797,-0.99963
270.2703,0.9869946795,2851558.0897434973,-2850506.902642566,-0.999631
271.2713,0.9869680331,2853354.2316995366,-2852306.249582886,-0.999633
272.2723,0.9869414592,2854926.805017795,-2853882.086217282,-0.999634
273.2733,0.9869149574,2856277.1684787488,-2855235.7701921454,-0.999635
274.2743,0.9868885272,2857406.716316132,-2856368.694610744,-0.999637
275.2753,0.9868621683,2858316.877273724,-2857282.2870902824,-0.999638
276.2763,0.9868358804,2859009.1136666858,-2857978.0088235084,-0.999639
277.2773,0.986809663,2859484.9204478073,-2858457.353645219,-0.999641
278.2783,0.9867835157,2859745.8242789274,-2858721.8471039357,-0.999642
279.2793,0.9867574383,2859793.382607856,-2858773.045539072,-0.999643
280.2803,0.9867314302,2859629.182751073,-2858612.5351638687,-0.999644
281.2813,0.9867054912,2859254.84098248,-2858241.931154381,-0.999646
282.2823,0.9866796209,2858672.001628447,-2857662.8767447453,-0.999647
283.2833,0.986653819,2857882.336169474,-2856877.0423290613,-0.999648
284.2843,0.986628085,2856887.5423486284,-2855886.1245700377,-0.999649
285.2853,0.9866024186,2855689.3432870656,-2854691.8455147156,-0.999651
286.2863,0.9865768195,2854289.4866068047,-2853295.951717443,-0.999652
287.2873,0.9865512873,2852689.743561014,-2851700.2133703474,-0.999653
288.2883,0.9865258216,2850891.908172015,-2849906.423441527,-0.999654
289.2893,0.9865004222,2848897.7963771406,-2847916.39682108,-0.999656
290.2903,0.9864750886,2846709.2451827405,-2845731.969475285,-0.999657
291.2913,0.9864498206,2844328.111826393,-2843354.997608976,-0.999658
292.2923,0.9864246178,2841756.2729476304,-2840787.3568364237,-0.999659
293.2933,0.9863994799,2838995.623767205,-2838030.9413607535,-0.99966
294.2943,0.9863744065,2836048.077275146,-2835087.6631621495,-0.999661
295.2953,0.9863493973,2832915.5634277137,-2831959.451194948,-0.999662
296.2963,0.986324452,2829600.0283534084,-2828648.2505937777,-0.999664
297.2973,0.9862995703,2826103.4335681256,-2825156.0218888465,-0.999665
298.2983,0.9862747517,2822427.75519963,-2821484.7402305347,-0.999666
299.2993,0.9862499961,2818574.983221435,-2817636.3946233937,-0.999667
300.3003,0.9862253031,2814547.120696206,-2813612.987169658,-0.999668
301.3013,0.9862006724,2810346.183028759,-2809416.532322351,-0.999669
302.3023,0.9861761037,2805974.1972288075,-2805049.0561481332,-0.99967
303.3033,0.9861515966,2801433.2011834723,-2800512.595599907,-0.999671
304.3043,0.9861271509,2796725.2429396887,-2795809.1977993124,-0.999672
305.3053,0.9861027663,2791852.37999657,-2790940.9193291767,-0.999674
306.3063,0.9860784424,2786816.678607752,-2785909.825535941,-0.999675
307.3073,0.9860541789,2781620.2130938605,-2780717.9898422,-0.999676
308.3083,0.9860299756,2776265.065165068,-2775367.4930693335,-0.999677
309.3093,0.9860058322,2770753.323253857,-2769860.4227703298,-0.999678
310.3103,0.9859817483,2765087.0818579863,-2764198.8725728197,-0.999679
311.3113,0.9859577237,2759268.440893698,-2758384.941532337,-0.99968
312.3123,0.985933758,2753299.5050592455,-2752420.7334959004,-0.999681
313.3133,0.9859098511,2747182.3832087093,-2746308.356475877,-0.999682
314.3143,0.9858860026,2740919.187736126,-2740049.922034156,-0.999683
315.3153,0.9858622121,2734512.033969988,-2733647.5446766876,-0.999684
316.3163,0.9858384796,2727963.0395780886,-2727103.3412583657,-0.999685
317.3173,0.9858148046,2721274.323982708,-2720419.4303982444,-0.999686
318.3183,0.9857911869,2714448.0077861715,-2713597.9319051253,-0.999687
319.3193,0.9857676262,2707486.2122067465,-2706640.966213479,-0.999688
320.3203,0.9857441222,2700391.058524896,-2699550.6538297203,-0.999689
321.3213,0.9857206747,2693164.6675398382,-2692329.1147887823,-0.99969
322.3223,0.9856972834,2685809.159036434,-2684978.46812102,-0.999691
323.3233,0.985673948,2678326.6512623425,-2677500.8313293764,-0.999692
324.3243,0.9856506683,2670719.2604154544,-2669898.3198768203,-0.999693
325.3253,0.985627444,2662989.100141533,-2662173.0466839946,-0.999694
326.3263,0.9856042748,2655138.281042084,-2654327.1216370827,-0.999694
327.3273,0.9855811606,2647168.910192331,-2646362.6511057843,-0.999695
328.3283,0.9855581009,2639083.090669369,-2638281.7374714627,-0.999696
329.3293,0.9855350956,2630882.9210903416,-2630086.478665313,-0.999697
330.3303,0.9855121444,2622570.4951606607,-2621778.96771657,-0.999698
331.3313,0.9854892471,2614147.9012322025,-2613361.2923106905,-0.999699
332.3323,0.9854664033,2605617.2218714203,-2604835.5343574486,-0.9997
333.3333,0.985443613,2596980.533437313,-2596203.769568887,-0.999701
334.3343,0.9854208757,2588239.9056692086,-2587468.0670470744,-0.999702
335.3353,0.9853981913,2579397.401284269,-2578630.4888815884,-0.999703
336.3363,0.9853755596,2570455.075584698,-2569693.089756696,-0.999704
337.3373,0.9853529802,2561414.9760745284,-2560657.91656811,-0.999704
338.3383,0.9853304529,2552279.1420859694,-2551527.0080493074,-0.999705
339.3393,0.9853079776,2543049.604415198,-2542302.394407283,-0.999706
340.3403,0.9852855539,2533728.384967566,-2532986.0969677237,-0.999707
341.3413,0.9852631816,2524317.496412108,-2523580.1278294763,-0.999708
342.3423,0.9852408605,2514818.94184528,-2514086.489528246,-0.999709
343.3433,0.9852185904,2505234.714463865,-2504507.1747094616,-0.99971
344.3443,0.985196371,2495566.7972469567,-2494844.165810214,-0.99971
345.3453,0.9851742021,2485817.162646913,-2485099.4347501607,-0.999711
346.3463,0.9851520835,2475987.7722892375,-2475274.942631366,-0.999712
347.3473,0.9851300149,2466080.576681256,-2465372.6394469235,-0.999713
348.3483,0.9851079961,2456097.5149295335,-2455394.4637983227,-0.999714
349.3493,0.985086027,2446040.514465943,-2445342.3426214657,-0.999715
350.3504,0.9850641072,2435911.4907822455,-2435218.1909211944,-0.999715
351.3514,0.9850422365,2425712.347173155,-2425023.911514296,-0.999716
352.3524,0.9850204148,2415444.974487758,-2414761.394780871,-0.999717
353.3534,0.9849986418,2405111.2508891867,-2404432.518423943,-0.999718
354.3544,0.9849769174,2394713.0416224864,-2394039.1472372683,-0.999719
355.3554,0.9849552412,2384252.1987905176,-2383583.1328811776,-0.999719
356.3564,0.984933613,2373730.5611378797,-2373066.313666437,-0.99972
357.3574,0.9849120328,2363149.953842681,-2362490.5143459537,-0.999721
358.3584,0.9848905002,2352512.18831609,-2351857.5459142653,-0.999722
359.3594,0.984869015,2341819.06200958,-2341169.205414715,-0.999722
360.3604,0.9848475771,2331072.3582297377,-2330427.2757541984,-0.999723
361.3614,0.9848261862,2320273.8459605523,-2319633.5255253813,-0.999724
362.3624,0.9848048421,2309425.279693088,-2308789.708836305,-0.999725
363.3634,0.9847835446,2298528.3992624087,-2297897.565147243,-0.999726
364.3644,0.9847622936,2287584.9296917077,-2286958.8191147577,-0.999726
365.3654,0.9847410887,2276596.5810434697,-2275975.1804427956,-0.999727
366.3664,0.9847199299,2265565.04827763,-2264948.3437407706,-0.999728
367.3674,0.9846988169,2254492.011116569,-2253879.9883884895,-0.999729
368.3684,0.9846777496,2243379.1339168977,-2242771.778407863,-0.999729
369.3694,0.9846567276,2232228.065547866,-2231625.3623412405,-0.99973
370.3704,0.9846357509,2221040.4392763563,-2220442.3731363295,-0.999731
371.3714,0.9846148193,2209817.8726582914,-2209224.4280375303,-0.999731
372.3724,0.9845939324,2198561.967436433,-2197973.128483656,-0.999732
373.3734,0.9845730903,2187274.309444384,-2186690.0600118632,-0.999733
374.3744,0.9845522926,2175956.4685167545,-2175376.792167738,-0.999734
375.3754,0.9845315392,2164609.9984053466,-2164034.8784214086,-0.999734
376.3764,0.9845108298,2153236.4367013033,-2152665.8560896134,-0.999735
377.3774,0.9844901644,2141837.3047630545,-2141271.246263572,-0.999736
378.3784,0.9844695427,2130414.1076500216,-2129852.5537426122,-0.999736
379.3794,0.9844489645,2118968.3340619295,-2118411.2669734033,-0.999737
380.3804,0.9844284297,2107501.456283663,-2106948.857994736,-0.999738
381.3814,0.9844079381,2096014.9301355307,-2095466.7823877078,-0.999738
382.3824,0.9843874894,2084510.194928876,-2083966.4792312542,-0.999739
383.3834,0.9843670836,2072988.6734268828,-2072449.3710628783,-0.99974
384.3844,0.9843467204,2061451.7718105384,-2060916.8638445337,-0.999741
385.3854,0.9843263996,2049900.8796495988,-2049370.3469335116,-0.999741
386.3864,0.9843061212,2038337.3698784926,-2037811.193058266,-0.999742
387.3874,0.9842858848,2026762.5987770383,-2026240.758299053,-0.999743
388.3884,0.9842656904,2015177.9059559212,-2014660.3820733277,-0.999743
389.3894,0.9842455377,2003584.614346772,-2003071.3871257452,-0.999744
390.3904,0.9842254267,1991984.0301968087,-1991475.0795227236,-0.999745
391.3914,0.984205357,1980377.4430679,-1979872.7486514281,-0.999745
392.3924,0.9841853286,1968766.1258399936,-1968265.6672231234,-0.999746
393.3934,0.9841653413,1957151.3347187887,-1956655.0912807637,-0.999746
394.3944,0.9841453949,1945534.3092475643,-1945042.260210747,-0.999747
395.3954,0.9841254892,1933916.272323084,-1933428.3967587391,-0.999748
396.3964,0.9841056241,1922298.4302154696,-1921814.7070494704,-0.999748
397.3974,0.9840857995,1910681.9725919536,-1910202.380610411,-0.999749
398.3984,0.9840660151,1899068.0725444404,-1898592.590399254,-0.99975
399.3994,0.9840462708,1887457.886620744,-1886986.4928350758,-0.99975
400.4004,0.9840265664,1875852.5548594727,-1875385.2278331448,-0.999751
401.4014,0.9840069018,1864253.2008284156,-1863789.9188432298,-0.999751
402.4024,0.9839872768,1852660.9316663793,-1852201.6728913614,-0.999752
403.4034,0.9839676912,1841076.8381283751,-1840621.5806249431,-0.999753
404.4044,0.983948145,1829501.9946340728,-1829050.716361129,-0.999753
405.4054,0.9839286379,1817937.4593194479,-1817490.1381383957,-0.999754
406.4064,0.9839091697,1806384.2740915061,-1805940.8877711915,-0.999755
407.4074,0.9838897404,1794843.4646860585,-1794403.9909076372,-0.999755
408.4084,0.9838703498,1783316.0407283986,-1782880.4570901287,-0.999756
409.4094,0.9838509977,1771802.995796856,-1771371.2798188166,-0.999756
410.4104,0.983831684,1760305.3074891183,-1759877.4366178554,-0.999757
411.4114,0.9838124085,1748823.9374912456,-1748399.8891043433,-0.999758
412.4124,0.983793171,1737359.83164931,-1736939.5830598902,-0.999758
413.4134,0.9837739715,1725913.9200435726,-1725497.4485047227,-0.999759
414.4144,0.9837548097,1714487.1170651254,-1714074.399774253,-0.999759
415.4154,0.9837356856,1703080.3214949172,-1702671.3355980346,-0.99976
416.4164,0.9837165989,1691694.416585115,-1691289.139181052,-0.99976
417.4174,0.9836975496,1680330.2701426817,-1679928.6782872293,-0.999761
418.4184,0.9836785375,1668988.7346151422,-1668590.8053251246,-0.999762
419.4194,0.9836595624,1657670.6471784476,-1657276.3574357263,-0.999762
420.4204,0.9836406242,1646376.829826858,-1645986.1565822666,-0.999763
421.4214,0.9836217227,1635108.0894647986,-1634721.0096420087,-0.999763
422.4224,0.9836028579,1623865.2180005945,-1623481.7084999143,-0.999764
423.4234,0.9835840295,1612648.9924420442,-1612269.0301441497,-0.999764
424.4244,0.9835652375,1601460.174993736,-1601083.7367633358,-0.999765
425.4254,0.9835464816,1590299.5131560718,-1589926.5758455046,-0.999765
426.4264,0.9835277618,1579167.7398259009,-1578798.2802786687,-0.999766
427.4274,0.983509078,1568065.5733987486,-1567699.5684529834,-0.999767
428.4284,0.9834904299,1556993.7178725102,-1556631.1443643775,-0.999767
429.4294,0.9834718175,1545952.8629526193,-1545593.6977196562,-0.999768
430.4304,0.9834532405,1534943.6841585755,-1534587.9040429664,-0.999768
431.4314,0.983434699,1523966.8429318056,-1523614.424783595,-0.999769
432.4324,0.9834161926,1513022.986744786,-1512673.907425028,-0.999769
433.4334,0.9833977214,1502112.7492113602,-1501766.9855952086,-0.99977
434.4344,0.9833792852,1491236.7501982248,-1490894.2791779586,-0.99977
435.4354,0.9833608838,1480395.5959374916,-1480056.3944254832,-0.999771
436.4364,0.9833425171,1469589.879140294,-1469253.924071916,-0.999771
437.4374,0.983324185,1458820.179111387,-1458487.44744786,-0.999772
438.4384,0.9833058874,1448087.0618646655,-1447757.5305958465,-0.999772
439.4394,0.9832876241,1437391.0802395744,-1437064.7263866886,-0.999773
440.4404,0.9832693949,1426732.7740183403,-1426409.5746366535,-0.999773
441.4414,0.9832511999,1416112.6700439937,-1415792.6022254298,-0.999774
442.4424,0.9832330388,1405531.2823391082,-1405214.3232148082,-0.999774
443.4434,0.9832149115,1394989.1122252368,-1394675.2389680643,-0.999775
444.4444,0.9831968179,1384486.6484429734,-1384175.838269963,-0.999776
445.4454,0.9831787579,1374024.367272609,-1373716.5974473616,-0.999776
446.4464,0.9831607313,1363602.7326553275,-1363297.980490351,-0.999777
447.4474,0.983142738,1353222.1963149097,-1352920.4391739075,-0.999777
448.4484,0.983124778,1342883.1978798804,-1342584.4131799852,-0.999778
449.4494,0.983106851,1332586.1650060862,-1332290.3302200444,-0.999778
450.4505,0.9830889569,1322331.513499619,-1322038.6061579208,-0.999778
451.4515,0.9830710957,1312119.6474401006,-1311829.6451330616,-0.999779
452.4525,0.9830532673,1301950.9593042326,-1301663.839684025,-0.999779
453.4535,0.9830354714,1291825.830089617,-1291541.5708722488,-0.99978
454.4545,0.983017708,1281744.629438766,-1281463.2084060144,-0.99978
455.4555,0.9829999769,1271707.7157633097,-1271429.110764604,-0.999781
456.4565,0.9829822781,1261715.4363683334,-1261439.625322591,-0.999781
457.4575,0.9829646114,1251768.1275768157,-1251495.0884742306,-0.999782
458.4585,0.9829469768,1241866.114854126,-1241595.8257579103,-0.999782
459.4595,0.982929374,1232009.7129325771,-1231742.1519806578,-0.999783
460.4605,0.982911803,1222199.2259359546,-1221934.3713426236,-0.999783
461.4615,0.9828942637,1212434.9475040275,-1212172.777561548,-0.999784
462.4625,0.982876756,1202717.1609169757,-1202457.653997143,-0.999784
463.4635,0.9828592796,1193046.1392197488,-1192789.2737754094,-0.999785
464.4645,0.9828418346,1183422.1453462688,-1183167.8999127946,-0.999785
465.4655,0.9828244209,1173845.4322434983,-1173593.7854402193,-0.999786
466.4665,0.9828070382,1164316.2429952987,-1164067.1735268948,-0.999786
467.4675,0.9827896865,1154834.8109461046,-1154588.2976039532,-0.999787
468.4685,0.9827723657,1145401.3598243298,-1145157.3814878163,-0.999787
469.4695,0.9827550757,1136016.1038655217,-1135774.6395033079,-0.999787
470.4705,0.9827378164,1126679.2479352048,-1126440.2766064573,-0.999788
471.4715,0.9827205876,1117390.987651428,-1117154.4885070093,-0.999788
472.4725,0.9827033893,1108151.5095069401,-1107917.4617905607,-0.999789
473.4735,0.9826862213,1098960.9909910231,-1098729.3740403545,-0.999789
474.4745,0.9826690836,1089819.600710904,-1089590.3939586561,-0.99979
475.4755,0.982651976,1080727.49851278,-1080500.6814877412,-0.99979
476.4765,0.9826348984,1071684.8356023887,-1071460.3879304298,-0.999791
477.4775,0.9826178508,1062691.7546651307,-1062469.6560701735,-0.999791
478.4785,0.9826008329,1053748.3899856969,-1053528.6202906463,-0.999791
479.4795,0.9825838448,1044854.8675672172,-1044637.4066948614,-0.999792
480.4805,0.9825668863,1036011.3052498783,-1035796.1332237526,-0.999792
481.4815,0.9825499573,1027217.8128290067,-1027004.9097742252,-0.999793
482.4825,0.9825330577,1018474.492172586,-1018263.83831664,-0.999793
483.4835,0.9825161875,1009781.4373382183,-1009573.0130117423,-0.999794
484.4845,0.9824993464,1001138.7346894831,-1000932.5203269885,-0.999794
485.4855,0.9824825344,992546.4630116882,-992342.439152267,-0.999794
486.4865,0.9824657515,984004.6936269933,-983802.8409149891,-0.999795
487.4875,0.9824489974,975513.4905089109,-975313.7896945612,-0.999795
488.4885,0.9824322722,967072.910396136,-966875.3423361838,-0.999796
489.4895,0.9824155756,958683.0029057097,-958487.548563986,-0.999796
490.4905,0.9823989077,950343.8106455037,-950150.4510934812,-0.999797
491.4915,0.9823822683,942055.3693260151,-941864.0857433338,-0.999797
492.4925,0.9823656573,933817.7078714399,-933628.4815464041,-0.999797
493.4935,0.9823490746,925630.8485300298,-925443.6608600788,-0.999798
494.4945,0.9823325202,917494.8069837182,-917309.6394758694,-0.999798
495.4955,0.9823159939,909409.5924570014,-909226.4267282672,-0.999799
496.4965,0.9822994956,901375.207825065,-901194.0256028438,-0.999799
497.4975,0.9822830252,893391.6497211388,-893212.4328435805,-0.999799
498.4985,0.9822665827,885458.908643079,-885281.6390594256,-0.9998
499.4995,0.982250168,877576.969059171,-877401.6288300726,-0.9998
500.5005,0.9822337809,869745.8095131302,-869572.3808109366,-0.999801
501.5015,0.9822174214,861965.4027283007,-861793.8678373296,-0.999801
502.5025,0.9822010893,854235.7157110409,-854066.0570278238,-0.999801
503.5035,0.9821847846,846556.7098532977,-846388.909886801,-0.999802
504.5045,0.9821685073,838928.3410343501,-838762.382406176,-0.999802
505.5055,0.9821522571,831350.559721712,-831186.4251662758,-0.999803
506.5065,0.982136034,823823.3110712015,-823660.9834358885,-0.999803
507.5075,0.982119838,816346.5350261667,-816185.9972714682,-0.999803
508.5085,0.9821036689,808920.1664158539,-808761.4016154811,-0.999804
509.5095,0.9820875266,801544.1350529199,-801387.1263938993,-0.999804
510.5105,0.9820714111,794218.3658300714,-794063.0966128196,-0.999805
511.5115,0.9820553222,786942.7788158591,-786789.2324542379,-0.999805
512.5125,0.9820392599,779717.2893495816,-779565.4493709344,-0.999805
513.5135,0.9820232242,772541.8081353133,-772391.6581804833,-0.999806
514.5145,0.9820072148,765416.2413350582,-765267.7651583873,-0.999806
515.5155,0.9819912317,758340.4906610234,-758193.6721303343,-0.999806
516.5165,0.9819752749,751314.4534669962,-751169.2765635566,-0.999807
517.5175,0.9819593442,744338.0228388403,-744194.4716573098,-0.999807
