z,x_e_peebles,x_e_saha,g,tau,r_s_Mpc,r_d_Mpc,T_K,H_z_s
1316.32,0.60900931,0.26488459,1.49862e-05,8.26311,127.901,127.901,3590.32,0.0
1318.82,0.61534745,0.27404499,1.30911e-05,8.409361,127.7356,127.7356,3597.14,0.0
1321.32,0.62167464,0.28341433,1.14157e-05,8.557226,127.5707,127.5707,3603.96,0.0
1323.82,0.62798945,0.29299083,9.9374e-06,8.706707,127.4062,127.4062,3610.78,0.0
1326.33,0.63429044,0.30277221,8.6356e-06,8.857801,127.2422,127.2422,3617.6,0.0
1328.83,0.64057615,0.31275567,7.4912e-06,9.010507,127.0786,127.0786,3624.42,0.0
1331.33,0.64684511,0.32293787,6.4873e-06,9.164824,126.9155,126.9155,3631.24,0.0
1333.83,0.65309585,0.33331489,5.6082e-06,9.320748,126.7528,126.7528,3638.06,0.0
1336.34,0.65932687,0.34388225,4.8398e-06,9.478277,126.5906,126.5906,3644.88,0.0
1338.84,0.66553668,0.35463485,4.1695e-06,9.637408,126.4288,126.4288,3651.7,0.0
1341.34,0.67172377,0.36556699,3.5859e-06,9.798138,126.2675,126.2675,3658.52,0.0
1343.84,0.67788663,0.37667232,3.0787e-06,9.960462,126.1066,126.1066,3665.34,0.0
1346.35,0.68402373,0.38794387,2.6387e-06,10.124377,125.9461,125.9461,3672.17,0.0
1348.85,0.69013354,0.39937401,2.2577e-06,10.289878,125.7861,125.7861,3678.99,0.0
1351.35,0.69621452,0.41095446,1.9284e-06,10.45696,125.6265,125.6265,3685.81,0.0
1353.85,0.70226513,0.4226763,1.6444e-06,10.625618,125.4673,125.4673,3692.63,0.0
1356.36,0.70828383,0.43452995,1.3998e-06,10.795846,125.3086,125.3086,3699.45,0.0
1358.86,0.71426905,0.44650518,1.1896e-06,10.967638,125.1503,125.1503,3706.27,0.0
1361.36,0.72021925,0.45859113,1.0093e-06,11.140987,124.9925,124.9925,3713.09,0.0
1363.86,0.72613287,0.47077635,8.549e-07,11.315886,124.835,124.835,3719.91,0.0
1366.37,0.73200834,0.48304876,7.229e-07,11.492328,124.678,124.678,3726.73,0.0
1368.87,0.73784412,0.49539574,6.102e-07,11.670306,124.5214,124.5214,3733.55,0.0
1371.37,0.74363864,0.50780412,5.143e-07,11.849811,124.3652,124.3652,3740.37,0.0
1373.87,0.74939035,0.52026025,4.328e-07,12.030834,124.2095,124.2095,3747.19,0.0
1376.38,0.7550977,0.53274999,3.635e-07,12.213367,124.0541,124.0541,3754.01,0.0
1378.88,0.76075913,0.54525884,3.049e-07,12.397401,123.8992,123.8992,3760.83,0.0
1381.38,0.76637312,0.55777191,2.553e-07,12.582925,123.7447,123.7447,3767.65,0.0
1383.88,0.77193812,0.57027402,2.134e-07,12.76993,123.5906,123.5906,3774.47,0.0
1386.39,0.77745262,0.58274979,1.782e-07,12.958405,123.4369,123.4369,3781.29,0.0
1388.89,0.78291511,0.59518365,1.485e-07,13.148338,123.2836,123.2836,3788.11,0.0
1391.39,0.78832407,0.60755994,1.235e-07,13.33972,123.1308,123.1308,3794.93,0.0
1393.89,0.79367802,0.619863,1.026e-07,13.532538,122.9783,122.9783,3801.76,0.0
1396.4,0.79897551,0.63207723,8.51e-08,13.726779,122.8262,122.8262,3808.58,0.0
1398.9,0.80421505,0.64418719,7.05e-08,13.922432,122.6746,122.6746,3815.4,0.0
1401.4,0.80939524,0.65617765,5.83e-08,14.119483,122.5233,122.5233,3822.22,0.0
1403.9,0.81451464,0.66803371,4.81e-08,14.31792,122.3724,122.3724,3829.04,0.0
1406.41,0.81957187,0.67974086,3.97e-08,14.517729,122.222,122.222,3835.86,0.0
1408.91,0.82456556,0.69128505,3.27e-08,14.718895,122.0719,122.0719,3842.68,0.0
1411.41,0.82949438,0.70265281,2.69e-08,14.921404,121.9222,121.9222,3849.5,0.0
1413.91,0.834357,0.7138313,2.21e-08,15.125242,121.7729,121.7729,3856.32,0.0
1416.42,0.83915214,0.72480835,1.81e-08,15.330393,121.624,121.624,3863.14,0.0
1418.92,0.84387856,0.73557258,1.48e-08,15.536843,121.4755,121.4755,3869.96,0.0
1421.42,0.84853504,0.74611342,1.21e-08,15.744575,121.3274,121.3274,3876.78,0.0
1423.92,0.85312041,0.7564212,9.9e-09,15.953573,121.1796,121.1796,3883.6,0.0
1426.43,0.85763352,0.76648713,8e-09,16.163821,121.0323,121.0323,3890.42,0.0
1428.93,0.86207327,0.7763034,6.6e-09,16.375302,120.8853,120.8853,3897.24,0.0
1431.43,0.86643862,0.78586316,5.3e-09,16.587999,120.7387,120.7387,3904.06,0.0
1433.93,0.87072854,0.79516058,4.3e-09,16.801895,120.5925,120.5925,3910.88,0.0
1436.44,0.87494209,0.80419081,3.5e-09,17.016972,120.4466,120.4466,3917.7,0.0
1438.94,0.87907835,0.81295002,2.8e-09,17.233212,120.3012,120.3012,3924.52,0.0
1441.44,0.88313645,0.82143536,2.3e-09,17.450597,120.1561,120.1561,3931.35,0.0
1443.94,0.8871156,0.82964497,1.9e-09,17.66911,120.0114,120.0114,3938.17,0.0
1446.45,0.89101506,0.83757792,1.5e-09,17.88873,119.867,119.867,3944.99,0.0
1448.95,0.89483412,0.84523421,1.2e-09,18.109441,119.723,119.723,3951.81,0.0
1451.45,0.89857218,0.85261472,1e-09,18.331221,119.5794,119.5794,3958.63,0.0
1453.95,0.90222866,0.85972114,8e-10,18.554053,119.4362,119.4362,3965.45,0.0
1456.46,0.90580308,0.86655596,6e-10,18.777916,119.2933,119.2933,3972.27,0.0
1458.96,0.909295,0.87312239,5e-10,19.002792,119.1508,119.1508,3979.09,0.0
1461.46,0.91270409,0.8794243,4e-10,19.228661,119.0087,119.0087,3985.91,0.0
1463.96,0.91603006,0.88546617,3e-10,19.455503,118.8669,118.8669,3992.73,0.0
1466.47,0.9192727,0.89125303,3e-10,19.683298,118.7254,118.7254,3999.55,0.0
1468.97,0.92243189,0.89679039,2e-10,19.912025,118.5844,118.5844,4006.37,0.0
1471.47,0.92550759,0.90208419,2e-10,20.141666,118.4436,118.4436,4013.19,0.0
1473.97,0.92849984,0.90714073,1e-10,20.372201,118.3033,118.3033,4020.01,0.0
1476.48,0.93140876,0.91196661,1e-10,20.603608,118.1633,118.1633,4026.83,0.0
1478.98,0.93423455,0.9165687,1e-10,20.835868,118.0236,118.0236,4033.65,0.0
1481.48,0.9369775,0.92095405,1e-10,21.068961,117.8843,117.8843,4040.47,0.0
1483.98,0.93963801,0.92512985,1e-10,21.302867,117.7454,117.7454,4047.29,0.0
1486.49,0.94221655,0.9291034,0.0,21.537566,117.6068,117.6068,4054.11,0.0
1488.99,0.94471366,0.93288205,0.0,21.773038,117.4685,117.4685,4060.94,0.0
1491.49,0.94713001,0.93647316,0.0,22.009263,117.3306,117.3306,4067.76,0.0
1493.99,0.94946634,0.93988409,0.0,22.246222,117.193,117.193,4074.58,0.0
1496.5,0.95172347,0.94312211,0.0,22.483896,117.0558,117.0558,4081.4,0.0
1499.0,0.95390234,0.94619444,0.0,22.722265,116.9189,116.9189,4088.22,0.0
1501.5,0.95600393,0.94910816,0.0,22.96131,116.7824,116.7824,4095.04,0.0
1504.0,0.95802935,0.95187024,0.0,23.201012,116.6462,116.6462,4101.86,0.0
1506.51,0.95997977,0.9544875,0.0,23.441353,116.5103,116.5103,4108.68,0.0
1509.01,0.96185645,0.95696656,0.0,23.682315,116.3748,116.3748,4115.5,0.0
1511.51,0.96366072,0.95931391,0.0,23.923879,116.2396,116.2396,4122.32,0.0
1514.01,0.96539399,0.9615358,0.0,24.166028,116.1047,116.1047,4129.14,0.0
1516.52,0.96705773,0.96363832,0.0,24.408744,115.9702,115.9702,4135.96,0.0
1519.02,0.96865349,0.96562731,0.0,24.65201,115.836,115.836,4142.78,0.0
1521.52,0.97018286,0.96750845,0.0,24.895811,115.7021,115.7021,4149.6,0.0
1524.02,0.9716475,0.96928717,0.0,25.140129,115.5685,115.5685,4156.42,0.0
1526.53,0.97304912,0.9709687,0.0,25.384948,115.4353,115.4353,4163.24,0.0
1529.03,0.97438945,0.97255806,0.0,25.630254,115.3024,115.3024,4170.06,0.0
1531.53,0.97567027,0.97406005,0.0,25.876031,115.1699,115.1699,4176.88,0.0
1534.03,0.97689339,0.97547926,0.0,26.122264,115.0376,115.0376,4183.7,0.0
1536.54,0.97806064,0.97682008,0.0,26.36894,114.9057,114.9057,4190.53,0.0
1539.04,0.97917387,0.97808671,0.0,26.616044,114.7741,114.7741,4197.35,0.0
1541.54,0.98023492,0.97928313,0.0,26.863563,114.6428,114.6428,4204.17,0.0
1544.04,0.98124565,0.98041315,0.0,27.111485,114.5119,114.5119,4210.99,0.0
1546.55,0.98220792,0.98148037,0.0,27.359796,114.3812,114.3812,4217.81,0.0
1549.05,0.98312356,0.98248825,0.0,27.608486,114.2509,114.2509,4224.63,0.0
1551.55,0.98399439,0.98344003,0.0,27.857542,114.1209,114.1209,4231.45,0.0
1554.05,0.98482223,0.98433883,0.0,28.106954,113.9912,113.9912,4238.27,0.0
1556.56,0.98560884,0.98518757,0.0,28.35671,113.8618,113.8618,4245.09,0.0
1559.06,0.98635596,0.98598904,0.0,28.606801,113.7327,113.7327,4251.91,0.0
1561.56,0.98706532,0.98674589,0.0,28.857216,113.604,113.604,4258.73,0.0
1564.06,0.98773857,0.98746059,0.0,29.107947,113.4755,113.4755,4265.55,0.0
1566.57,0.98837735,0.98813553,0.0,29.358984,113.3474,113.3474,4272.37,0.0
1569.07,0.98898324,0.98877293,0.0,29.610319,113.2195,113.2195,4279.19,0.0
1571.57,0.98955777,0.9893749,0.0,29.861943,113.092,113.092,4286.01,0.0
1574.07,0.99010244,0.98994345,0.0,30.113849,112.9648,112.9648,4292.83,0.0
1576.58,0.99061868,0.99048045,0.0,30.366029,112.8378,112.8378,4299.65,0.0
1579.08,0.99110788,0.99098769,0.0,30.618476,112.7112,112.7112,4306.47,0.0
1581.58,0.99157138,0.99146686,0.0,30.871183,112.5849,112.5849,4313.29,0.0
1584.08,0.99201045,0.99191953,0.0,31.124145,112.4588,112.4588,4320.11,0.0
1586.59,0.99242633,0.99234722,0.0,31.377353,112.3331,112.3331,4326.94,0.0
1589.09,0.99282021,0.99275133,0.0,31.630804,112.2077,112.2077,4333.76,0.0
1591.59,0.9931932,0.99313319,0.0,31.884491,112.0826,112.0826,4340.58,0.0
1594.09,0.99354637,0.99349407,0.0,32.138408,111.9577,111.9577,4347.4,0.0
1596.6,0.99388244,0.99383516,0.0,32.392552,111.8332,111.8332,4354.22,0.0
1599.1,0.99417571,0.99415756,0.0,32.646914,111.7089,111.7089,4361.04,0.0
1601.6,0.99446399,0.99446234,0.0,32.901488,111.585,111.585,4367.86,0.0
1604.1,0.99475223,0.99475049,0.0,33.156273,111.4613,111.4613,4374.68,0.0
1606.61,0.99502479,0.99502295,0.0,33.411267,111.3379,111.3379,4381.5,0.0
1609.11,0.99528254,0.9952806,0.0,33.666467,111.2148,111.2148,4388.32,0.0
1611.61,0.99552632,0.99552428,0.0,33.921867,111.092,111.092,4395.14,0.0
1614.11,0.99575693,0.99575477,0.0,34.177465,110.9695,110.9695,4401.96,0.0
1616.62,0.99597508,0.99597282,0.0,34.433258,110.8473,110.8473,4408.78,0.0
1619.12,0.9961815,0.99617911,0.0,34.689241,110.7253,110.7253,4415.6,0.0
1621.62,0.99637682,0.99637431,0.0,34.945412,110.6037,110.6037,4422.42,0.0
1624.12,0.99656168,0.99655904,0.0,35.201768,110.4823,110.4823,4429.24,0.0
1626.63,0.99673666,0.99673388,0.0,35.458306,110.3612,110.3612,4436.06,0.0
1629.13,0.99690231,0.99689939,0.0,35.715023,110.2404,110.2404,4442.88,0.0
1631.63,0.99705914,0.99705607,0.0,35.971918,110.1199,110.1199,4449.7,0.0
1634.13,0.99720766,0.99720444,0.0,36.228987,109.9996,109.9996,4456.53,0.0
1636.64,0.99734832,0.99734493,0.0,36.486229,109.8796,109.8796,4463.35,0.0
1639.14,0.99748155,0.99747799,0.0,36.743641,109.7599,109.7599,4470.17,0.0
1641.64,0.99760777,0.99760404,0.0,37.001221,109.6405,109.6405,4476.99,0.0
1644.14,0.99772736,0.99772345,0.0,37.258967,109.5214,109.5214,4483.81,0.0
1646.65,0.9978407,0.99783659,0.0,37.516878,109.4025,109.4025,4490.63,0.0
1649.15,0.99794811,0.9979438,0.0,37.774952,109.2839,109.2839,4497.45,0.0
1651.65,0.99804994,0.99804542,0.0,38.033186,109.1655,109.1655,4504.27,0.0
1654.15,0.99814648,0.99814174,0.0,38.29158,109.0475,109.0475,4511.09,0.0
1656.66,0.99823802,0.99823306,0.0,38.550132,108.9297,108.9297,4517.91,0.0
1659.16,0.99832484,0.99831964,0.0,38.808841,108.8121,108.8121,4524.73,0.0
1661.66,0.9984072,0.99840174,0.0,39.067704,108.6949,108.6949,4531.55,0.0
1664.16,0.99848533,0.99847962,0.0,39.326722,108.5779,108.5779,4538.37,0.0
1666.67,0.99855947,0.99855348,0.0,39.585892,108.4612,108.4612,4545.19,0.0
1669.17,0.99862983,0.99862356,0.0,39.845214,108.3447,108.3447,4552.01,0.0
1671.67,0.99869662,0.99869005,0.0,40.104686,108.2285,108.2285,4558.83,0.0
1674.17,0.99876003,0.99875316,0.0,40.364307,108.1126,108.1126,4565.65,0.0
1676.68,0.99882024,0.99881304,0.0,40.624076,107.9969,107.9969,4572.47,0.0
1679.18,0.99887742,0.99886989,0.0,40.883993,107.8815,107.8815,4579.29,0.0
1681.68,0.99893175,0.99892387,0.0,41.144055,107.7664,107.7664,4586.12,0.0
1684.18,0.99898336,0.99897511,0.0,41.404263,107.6515,107.6515,4592.94,0.0
1686.69,0.99903241,0.99902378,0.0,41.664616,107.5368,107.5368,4599.76,0.0
1689.19,0.99907903,0.99907,0.0,41.925112,107.4225,107.4225,4606.58,0.0
1691.69,0.99912335,0.99911391,0.0,42.185751,107.3083,107.3083,4613.4,0.0
1694.19,0.99916549,0.99915563,0.0,42.446532,107.1945,107.1945,4620.22,0.0
1696.7,0.99920558,0.99919527,0.0,42.707455,107.0809,107.0809,4627.04,0.0
1699.2,0.99924372,0.99923293,0.0,42.968518,106.9675,106.9675,4633.86,0.0
1701.7,0.99928001,0.99926874,0.0,43.229721,106.8544,106.8544,4640.68,0.0
1704.2,0.99931455,0.99930277,0.0,43.491063,106.7416,106.7416,4647.5,0.0
1706.71,0.99934744,0.99933513,0.0,43.752544,106.629,106.629,4654.32,0.0
1709.21,0.99937876,0.9993659,0.0,44.014163,106.5166,106.5166,4661.14,0.0
1711.71,0.99940859,0.99939515,0.0,44.27592,106.4045,106.4045,4667.96,0.0
1714.21,0.99943702,0.99942298,0.0,44.537813,106.2927,106.2927,4674.78,0.0
1716.72,0.99946411,0.99944946,0.0,44.799843,106.1811,106.1811,4681.6,0.0
1719.22,0.99948995,0.99947464,0.0,45.062009,106.0697,106.0697,4688.42,0.0
1721.72,0.99951459,0.99949861,0.0,45.32431,105.9586,105.9586,4695.24,0.0
1724.22,0.9995381,0.99952142,0.0,45.586746,105.8478,105.8478,4702.06,0.0
1726.73,0.99956054,0.99954312,0.0,45.849317,105.7371,105.7371,4708.88,0.0
1729.23,0.99958196,0.99956379,0.0,46.112021,105.6268,105.6268,4715.71,0.0
1731.73,0.99960243,0.99958346,0.0,46.374859,105.5166,105.5166,4722.53,0.0
1734.23,0.99962198,0.99960219,0.0,46.63783,105.4067,105.4067,4729.35,0.0
1736.74,0.99964068,0.99962003,0.0,46.900934,105.2971,105.2971,4736.17,0.0
1739.24,0.99965856,0.99963702,0.0,47.16417,105.1877,105.1877,4742.99,0.0
1741.74,0.99967567,0.99965321,0.0,47.427538,105.0785,105.0785,4749.81,0.0
1744.24,0.99969205,0.99966863,0.0,47.691037,104.9696,104.9696,4756.63,0.0
1746.75,0.99970775,0.99968332,0.0,47.954668,104.8609,104.8609,4763.45,0.0
1749.25,0.99972279,0.99969732,0.0,48.218429,104.7524,104.7524,4770.27,0.0
1751.75,0.99973722,0.99971066,0.0,48.482321,104.6442,104.6442,4777.09,0.0
1754.25,0.99975106,0.99972338,0.0,48.746343,104.5362,104.5362,4783.91,0.0
1756.76,0.99976436,0.99973551,0.0,49.010494,104.4285,104.4285,4790.73,0.0
1759.26,0.99977714,0.99974707,0.0,49.274775,104.321,104.321,4797.55,0.0
1761.76,0.99978943,0.99975809,0.0,49.539186,104.2137,104.2137,4804.37,0.0
1764.26,0.99980126,0.99976861,0.0,49.803725,104.1066,104.1066,4811.19,0.0
1766.77,0.99981265,0.99977864,0.0,50.068392,103.9998,103.9998,4818.01,0.0
1769.27,0.99982363,0.99978821,0.0,50.333188,103.8932,103.8932,4824.83,0.0
1771.77,0.99983423,0.99979733,0.0,50.598112,103.7869,103.7869,4831.65,0.0
1774.27,0.99984447,0.99980604,0.0,50.863164,103.6807,103.6807,4838.47,0.0
1776.78,0.99985437,0.99981436,0.0,51.128343,103.5748,103.5748,4845.3,0.0
1779.28,0.99986395,0.99982229,0.0,51.393649,103.4692,103.4692,4852.12,0.0
1781.78,0.99987324,0.99982987,0.0,51.659082,103.3637,103.3637,4858.94,0.0
1784.28,0.99988224,0.9998371,0.0,51.924642,103.2585,103.2585,4865.76,0.0
1786.79,0.99989099,0.999844,0.0,52.190328,103.1535,103.1535,4872.58,0.0
1789.29,0.9998995,0.99985059,0.0,52.456141,103.0487,103.0487,4879.4,0.0
1791.79,0.99990778,0.99985689,0.0,52.722079,102.9442,102.9442,4886.22,0.0
1794.29,0.99991585,0.9998629,0.0,52.988143,102.8398,102.8398,4893.04,0.0
1796.8,0.99992373,0.99986865,0.0,53.254333,102.7357,102.7357,4899.86,0.0
1799.3,0.99993144,0.99987414,0.0,53.520648,102.6319,102.6319,4906.68,0.0
1801.8,0.99993898,0.99987939,0.0,53.787088,102.5282,102.5282,4913.5,0.0
1804.3,0.99994638,0.9998844,0.0,54.053652,102.4248,102.4248,4920.32,0.0
1806.81,0.99995364,0.99988919,0.0,54.320342,102.3215,102.3215,4927.14,0.0
1809.31,0.99996078,0.99989377,0.0,54.587155,102.2185,102.2185,4933.96,0.0
1811.81,0.99996782,0.99989815,0.0,54.854093,102.1158,102.1158,4940.78,0.0
1814.31,1.00007242,1.0,0.0,55.121168,102.0132,102.0132,4947.6,0.0
1816.82,1.00007528,1.0,0.0,55.38838,101.9108,101.9108,4954.42,0.0
1819.32,1.00007824,1.0,0.0,55.655714,101.8087,101.8087,4961.24,0.0
1821.82,1.00008131,1.0,0.0,55.92317,101.7068,101.7068,4968.06,0.0
1824.32,1.00008448,1.0,0.0,56.190749,101.6051,101.6051,4974.88,0.0
1826.83,1.00008778,1.0,0.0,56.45845,101.5036,101.5036,4981.71,0.0
1829.33,1.00009119,1.0,0.0,56.726273,101.4023,101.4023,4988.53,0.0
1831.83,1.00009472,1.0,0.0,56.994218,101.3012,101.3012,4995.35,0.0
1834.33,1.00009838,1.0,0.0,57.262285,101.2004,101.2004,5002.17,0.0
1836.84,1.00010217,1.0,0.0,57.530473,101.0997,101.0997,5008.99,0.0
1839.34,1.0001061,1.0,0.0,57.798783,100.9993,100.9993,5015.81,0.0
1841.84,1.00011016,1.0,0.0,58.067214,100.8991,100.8991,5022.63,0.0
1844.34,1.00011437,1.0,0.0,58.335767,100.7991,100.7991,5029.45,0.0
1846.85,1.00011873,1.0,0.0,58.60444,100.6993,100.6993,5036.27,0.0
1849.35,1.00012324,1.0,0.0,58.873235,100.5996,100.5996,5043.09,0.0
1851.85,1.00012791,1.0,0.0,59.142151,100.5003,100.5003,5049.91,0.0
1854.35,1.00013274,1.0,0.0,59.411187,100.4011,100.4011,5056.73,0.0
1856.86,1.00013774,1.0,0.0,59.680344,100.3021,100.3021,5063.55,0.0
1859.36,1.00014292,1.0,0.0,59.949621,100.2033,100.2033,5070.37,0.0
1861.86,1.00014827,1.0,0.0,60.219019,100.1047,100.1047,5077.19,0.0
1864.36,1.00015381,1.0,0.0,60.488537,100.0064,100.0064,5084.01,0.0
1866.87,1.00015954,1.0,0.0,60.758175,99.9082,99.9082,5090.83,0.0
1869.37,1.00016546,1.0,0.0,61.027934,99.8102,99.8102,5097.65,0.0
1871.87,1.00017159,1.0,0.0,61.297812,99.7125,99.7125,5104.47,0.0
1874.37,1.00017793,1.0,0.0,61.56781,99.6149,99.6149,5111.3,0.0
1876.88,1.00018449,1.0,0.0,61.837928,99.5175,99.5175,5118.12,0.0
1879.38,1.00019126,1.0,0.0,62.108165,99.4204,99.4204,5124.94,0.0
1881.88,1.00019827,1.0,0.0,62.378522,99.3234,99.3234,5131.76,0.0
1884.38,1.00020551,1.0,0.0,62.648999,99.2266,99.2266,5138.58,0.0
1886.89,1.000213,1.0,0.0,62.919595,99.1301,99.1301,5145.4,0.0
1889.39,1.00022074,1.0,0.0,63.19031,99.0337,99.0337,5152.22,0.0
1891.89,1.00022873,1.0,0.0,63.461144,98.9375,98.9375,5159.04,0.0
1894.39,1.00023699,1.0,0.0,63.732098,98.8416,98.8416,5165.86,0.0
1896.9,1.00024553,1.0,0.0,64.00317,98.7458,98.7458,5172.68,0.0
1899.4,1.00025435,1.0,0.0,64.274361,98.6502,98.6502,5179.5,0.0
1901.9,1.00026346,1.0,0.0,64.545671,98.5548,98.5548,5186.32,0.0
1904.4,1.00027288,1.0,0.0,64.8171,98.4596,98.4596,5193.14,0.0
1906.91,1.0002826,1.0,0.0,65.088648,98.3646,98.3646,5199.96,0.0
1909.41,1.00029264,1.0,0.0,65.360314,98.2698,98.2698,5206.78,0.0
1911.91,1.00030301,1.0,0.0,65.632099,98.1751,98.1751,5213.6,0.0
1914.41,1.00031371,1.0,0.0,65.904002,98.0807,98.0807,5220.42,0.0
1916.92,1.00032477,1.0,0.0,66.176024,97.9865,97.9865,5227.24,0.0
1919.42,1.00033618,1.0,0.0,66.448164,97.8924,97.8924,5234.06,0.0
1921.92,1.00034796,1.0,0.0,66.720422,97.7985,97.7985,5240.89,0.0
1924.42,1.00036012,1.0,0.0,66.992799,97.7049,97.7049,5247.71,0.0
1926.93,1.00037267,1.0,0.0,67.265294,97.6114,97.6114,5254.53,0.0
1929.43,1.00038562,1.0,0.0,67.537907,97.5181,97.5181,5261.35,0.0
1931.93,1.00039898,1.0,0.0,67.810638,97.4249,97.4249,5268.17,0.0
1934.43,1.00041277,1.0,0.0,68.083487,97.332,97.332,5274.99,0.0
1936.94,1.000427,1.0,0.0,68.356455,97.2393,97.2393,5281.81,0.0
1939.44,1.00044167,1.0,0.0,68.62954,97.1467,97.1467,5288.63,0.0
1941.94,1.00045681,1.0,0.0,68.902743,97.0543,97.0543,5295.45,0.0
1944.44,1.00047243,1.0,0.0,69.176065,96.9622,96.9622,5302.27,0.0
1946.95,1.00048853,1.0,0.0,69.449504,96.8701,96.8701,5309.09,0.0
1949.45,1.00050514,1.0,0.0,69.723061,96.7783,96.7783,5315.91,0.0
1951.95,1.00052226,1.0,0.0,69.996737,96.6867,96.6867,5322.73,0.0
1954.45,1.00053992,1.0,0.0,70.27053,96.5952,96.5952,5329.55,0.0
1956.96,1.00055812,1.0,0.0,70.544441,96.5039,96.5039,5336.37,0.0
1959.46,1.00057688,1.0,0.0,70.81847,96.4128,96.4128,5343.19,0.0
1961.96,1.00059623,1.0,0.0,71.092617,96.3219,96.3219,5350.01,0.0
1964.46,1.00061616,1.0,0.0,71.366882,96.2312,96.2312,5356.83,0.0
1966.97,1.00063671,1.0,0.0,71.641265,96.1406,96.1406,5363.65,0.0
1969.47,1.00065788,1.0,0.0,71.915766,96.0502,96.0502,5370.48,0.0
1971.97,1.0006797,1.0,0.0,72.190385,95.96,95.96,5377.3,0.0
1974.47,1.00070218,1.0,0.0,72.465122,95.87,95.87,5384.12,0.0
1976.98,1.00072533,1.0,0.0,72.739977,95.7802,95.7802,5390.94,0.0
1979.48,1.00074919,1.0,0.0,73.01495,95.6905,95.6905,5397.76,0.0
1981.98,1.00077376,1.0,0.0,73.290042,95.601,95.601,5404.58,0.0
1984.48,1.00079907,1.0,0.0,73.565252,95.5117,95.5117,5411.4,0.0
1986.99,1.00082513,1.0,0.0,73.84058,95.4225,95.4225,5418.22,0.0
1989.49,1.00085197,1.0,0.0,74.116027,95.3335,95.3335,5425.04,0.0
1991.99,1.00087961,1.0,0.0,74.391592,95.2447,95.2447,5431.86,0.0
1994.49,1.00090806,1.0,0.0,74.667275,95.1561,95.1561,5438.68,0.0
1997.0,1.00093735,1.0,0.0,74.943078,95.0676,95.0676,5445.5,0.0
1999.5,1.00096751,1.0,0.0,75.218999,94.9794,94.9794,5452.32,0.0
2002.0,1.00099854,1.0,0.0,75.495039,94.8913,94.8913,5459.14,0.0
2004.5,1.00103049,1.0,0.0,75.771198,94.8033,94.8033,5465.96,0.0
2007.01,1.00106336,1.0,0.0,76.047475,94.7155,94.7155,5472.78,0.0
2009.51,1.00109719,1.0,0.0,76.323873,94.6279,94.6279,5479.6,0.0
2012.01,1.001132,1.0,0.0,76.600389,94.5405,94.5405,5486.42,0.0
2014.51,1.00116781,1.0,0.0,76.877025,94.4532,94.4532,5493.24,0.0
2017.02,1.00120466,1.0,0.0,77.15378,94.3661,94.3661,5500.07,0.0
2019.52,1.00124255,1.0,0.0,77.430656,94.2792,94.2792,5506.89,0.0
2022.02,1.00128154,1.0,0.0,77.707651,94.1925,94.1925,5513.71,0.0
2024.52,1.00132163,1.0,0.0,77.984766,94.1059,94.1059,5520.53,0.0
2027.03,1.00136286,1.0,0.0,78.262002,94.0194,94.0194,5527.35,0.0
2029.53,1.00140526,1.0,0.0,78.539358,93.9332,93.9332,5534.17,0.0
2032.03,1.00144885,1.0,0.0,78.816834,93.8471,93.8471,5540.99,0.0
2034.53,1.00149367,1.0,0.0,79.094432,93.7611,93.7611,5547.81,0.0
2037.04,1.00153975,1.0,0.0,79.372151,93.6754,93.6754,5554.63,0.0
2039.54,1.00158711,1.0,0.0,79.64999,93.5898,93.5898,5561.45,0.0
2042.04,1.00163579,1.0,0.0,79.927952,93.5043,93.5043,5568.27,0.0
2044.54,1.00168582,1.0,0.0,80.206035,93.4191,93.4191,5575.09,0.0
2047.05,1.00173724,1.0,0.0,80.48424,93.3339,93.3339,5581.91,0.0
2049.55,1.00179007,1.0,0.0,80.762568,93.249,93.249,5588.73,0.0
2052.05,1.00184435,1.0,0.0,81.041017,93.1642,93.1642,5595.55,0.0
2054.55,1.00190012,1.0,0.0,81.31959,93.0796,93.0796,5602.37,0.0
2057.06,1.00195741,1.0,0.0,81.598286,92.9951,92.9951,5609.19,0.0
2059.56,1.00201626,1.0,0.0,81.877105,92.9108,92.9108,5616.01,0.0
2062.06,1.0020767,1.0,0.0,82.156048,92.8266,92.8266,5622.83,0.0
2064.56,1.00213878,1.0,0.0,82.435116,92.7426,92.7426,5629.65,0.0
2067.07,1.00220252,1.0,0.0,82.714307,92.6588,92.6588,5636.48,0.0
2069.57,1.00226798,1.0,0.0,82.993623,92.5751,92.5751,5643.3,0.0
2072.07,1.00233518,1.0,0.0,83.273064,92.4916,92.4916,5650.12,0.0
2074.57,1.00240417,1.0,0.0,83.552631,92.4083,92.4083,5656.94,0.0
2077.08,1.00247499,1.0,0.0,83.832324,92.3251,92.3251,5663.76,0.0
2079.58,1.00254768,1.0,0.0,84.112142,92.242,92.242,5670.58,0.0
2082.08,1.00262228,1.0,0.0,84.392088,92.1591,92.1591,5677.4,0.0
2084.58,1.00269885,1.0,0.0,84.67216,92.0764,92.0764,5684.22,0.0
2087.09,1.00277741,1.0,0.0,84.95236,91.9938,91.9938,5691.04,0.0
2089.59,1.00285802,1.0,0.0,85.232688,91.9114,91.9114,5697.86,0.0
2092.09,1.00294072,1.0,0.0,85.513145,91.8291,91.8291,5704.68,0.0
